
ID    |                  Customer |          Phone Number |           Brand | Plate Number | Seats |  Rental Rate |                    Driver |  Driver Phone Number | Start Date | End Date | Rental Fee (RM)
==============================================================================================================================================================================================
ID000 | Ann Lin                   |           60166016628 |         Perodua |      BRW 494 |     7 |        69.74 |             Melissa Black |          60196846733 | 2024-06-28 | 2024-07-11 |          906.62
ID001 | Edward Mcclain            |           60167368061 |             BMW |      SSZ 745 |     9 |       124.05 |            Lisa Rodriguez |          60183001283 | 2024-06-14 | 2024-06-26 |         1488.60
ID002 | Marissa Evans             |           60176543382 |           Mazda |      IOX 969 |     4 |        83.19 |              April Miller |          60112444733 | 2024-07-04 | 2024-07-15 |          915.09
ID003 | Gabriel Bender            |           60192294642 |         Perodua |      VCN 258 |     7 |        65.97 |               Martin Yang |          60132942879 | 2024-06-24 | 2024-07-02 |          527.76
ID004 | Joseph Jones              |           60147044423 |            Ford |      XQV 198 |     5 |       188.15 |            Kristen Wilson |          60148329902 | 2024-07-01 | 2024-07-11 |         1881.50
ID005 | Mikayla Hall DDS          |           60152779005 |          Proton |      SDY 010 |     9 |       192.44 |             Kelly Spencer |          60141421096 | 2024-06-20 | 2024-06-30 |         1924.40
ID006 | Omar Rosales              |           60148067910 |         Perodua |      LFD 587 |     7 |       121.20 |              Daniel Smith |          60192475007 | 2024-06-17 | 2024-06-18 |          121.20
ID007 | Brittney Espinoza         |           60155543580 |      Volkswagen |      AOA 818 |     9 |       191.90 |              Julie Harper |          60194198735 | 2024-07-02 | 2024-07-11 |         1727.10
ID008 | Shawn Rivera              |           60160760721 |           Mazda |      HNN 367 |     9 |       197.53 |    Mr. Ronald Wilkins Jr. |          60184150556 | 2024-06-22 | 2024-06-24 |          395.06
ID009 | Christopher Martin        |           60147647571 |      Volkswagen |      NTW 006 |     4 |       183.39 |                Doris Bush |          60118475371 | 2024-06-23 | 2024-07-05 |         2200.68
ID010 | Teresa Garcia             |           60100341409 |           Honda |      NGH 673 |     9 |        98.36 |           Jason Gillespie |          60145319760 | 2024-07-05 | 2024-07-18 |         1278.68
ID011 | Keith Lloyd               |           60189320675 |          Proton |      RZM 472 |     4 |       166.45 |             Michael Brown |          60185776772 | 2024-06-25 | 2024-07-05 |         1664.50
ID012 | Susan Rodriguez           |           60177463166 |           Mazda |      DEI 220 |     5 |       155.26 |            Victoria Mayer |          60190048816 | 2024-06-11 | 2024-06-21 |         1552.60
ID013 | Marc Shields              |           60151980510 |          Proton |      FVQ 839 |     7 |        81.81 |                Kyle Jones |          60154811639 | 2024-06-15 | 2024-06-19 |          327.24
ID014 | David Sutton              |           60150424463 |          Proton |      JPK 278 |     7 |       120.50 |            Michele Bailey |          60185454961 | 2024-07-02 | 2024-07-09 |          843.50
ID015 | George Velez              |           60144718931 |             BMW |      DLU 020 |     5 |       187.51 |              Kelly Barton |          60155091865 | 2024-06-12 | 2024-06-24 |         2250.12
ID016 | Sarah Baker               |           60110706560 |      Volkswagen |      WQR 280 |     7 |       128.46 |              Timothy Long |          60170839082 | 2024-06-25 | 2024-07-07 |         1541.52
ID017 | Eric Livingston           |           60116779064 |      Volkswagen |      HVU 515 |     7 |       166.01 |               Jeff Parker |          60192988092 | 2024-07-04 | 2024-07-09 |          830.05
ID018 | Kimberly Meyers           |           60177351275 |          Toyota |      ELM 691 |     7 |       130.82 |               James Perez |          60149752550 | 2024-06-26 | 2024-07-06 |         1308.20
ID019 | Andrew Aguilar            |           60190587042 |           Mazda |      YZH 625 |     4 |       161.27 |               Tracy Bruce |          60172757502 | 2024-07-04 | 2024-07-05 |          161.27
ID020 | James Lynch               |           60127815686 |   Mercedes-Benz |      AOU 230 |     7 |        80.95 |  Mr. Anthony Morrison III |          60142884330 | 2024-07-04 | 2024-07-16 |          971.40
ID021 | Lawrence Jacobson         |           60147422418 |          Nissan |      PKD 265 |     7 |       185.95 |            William Barnes |          60195968778 | 2024-06-10 | 2024-06-12 |          371.90
ID022 | Andrew Clark              |           60105963561 |         Perodua |      YWW 155 |     5 |        66.06 |              Teresa Perez |          60169375028 | 2024-07-09 | 2024-07-22 |          858.78
ID023 | Mary Harper               |           60157107964 |          Nissan |      ZPB 391 |     7 |       126.17 |            Andrew Johnson |          60188227807 | 2024-06-13 | 2024-06-25 |         1514.04
ID024 | Jeremy Ortega             |           60125391051 |           Honda |      MAL 739 |     9 |       123.20 |              Mark Johnson |          60126502704 | 2024-06-20 | 2024-06-28 |          985.60
ID025 | Tasha Murray              |           60166427250 |          Proton |      GOG 632 |     7 |       137.53 |            Dalton Carroll |          60160458346 | 2024-07-08 | 2024-07-12 |          550.12
ID026 | Kenneth Ruiz              |           60139207217 |           Mazda |      FEA 286 |     5 |       134.28 |          Rebecca Williams |          60139990356 | 2024-06-13 | 2024-06-15 |          268.56
ID027 | Tracy Thomas              |           60112405542 |          Proton |      EKP 369 |     9 |       109.67 |             Andrew Murphy |          60193538202 | 2024-06-13 | 2024-06-20 |          767.69
ID028 | Marisa Silva              |           60197216142 |           Honda |      GMX 475 |     9 |       127.24 |          Johnathan Malone |          60145651886 | 2024-06-23 | 2024-06-24 |          127.24
ID029 | Chad Washington           |           60148689334 |          Toyota |      KMX 571 |     9 |       152.70 |             Roger Jenkins |          60140109350 | 2024-07-02 | 2024-07-04 |          305.40
ID030 | Johnny Coleman            |           60121177311 |      Volkswagen |      ECL 281 |     4 |       191.80 |            Megan Thompson |          60125938981 | 2024-06-19 | 2024-06-20 |          191.80
ID031 | Olivia Wilson             |           60124804855 |           Honda |      GRI 421 |     4 |        56.05 |          Brandon Mcdowell |          60175643775 | 2024-07-08 | 2024-07-09 |           56.05
ID032 | Wendy Porter              |           60199690915 |             BMW |      PLH 144 |     7 |       107.19 |               Erika Reyes |          60184955349 | 2024-06-10 | 2024-06-22 |         1286.28
ID033 | Isaac Parker              |           60199446133 |           Mazda |      NIP 646 |     5 |       137.36 |           Michael Johnson |          60154868887 | 2024-07-07 | 2024-07-09 |          274.72
ID034 | Tiffany Reed              |           60170672240 |          Toyota |      HVR 303 |     9 |        92.14 |           Carla Robertson |          60158948109 | 2024-06-10 | 2024-06-13 |          276.42
ID035 | Dennis Aguirre            |           60177369804 |          Nissan |      RRH 654 |     5 |        88.51 |             Julia Merritt |          60121335052 | 2024-06-22 | 2024-06-27 |          442.55
ID036 | Robert Stark              |           60101916760 |             BMW |      BUG 693 |     7 |       178.49 |            Christine Park |          60153391721 | 2024-07-05 | 2024-07-07 |          356.98
ID037 | Melissa Goodwin           |           60195876015 |           Mazda |      EXR 745 |     4 |       186.61 |                Hannah Day |          60140673785 | 2024-06-24 | 2024-07-05 |         2052.71
ID038 | Martin Wilson             |           60146124952 |          Toyota |      UHD 008 |     7 |       181.17 |            Andrew Edwards |          60134783626 | 2024-06-25 | 2024-07-02 |         1268.19
ID039 | Manuel Jackson            |           60159128069 |          Toyota |      SGC 852 |     5 |       162.94 |               Robert Huff |          60156757841 | 2024-06-27 | 2024-07-10 |         2118.22
ID040 | Jaclyn Sosa               |           60162398460 |   Mercedes-Benz |      RUJ 204 |     9 |        61.95 |         Alexander Bennett |          60159800497 | 2024-07-08 | 2024-07-21 |          805.35
ID041 | John Caldwell             |           60153040454 |          Proton |      AIO 407 |     9 |       148.59 |             Thomas Cannon |          60168829518 | 2024-07-01 | 2024-07-15 |         2080.26
ID042 | Stephanie Curry           |           60182432562 |          Toyota |      YXG 612 |     4 |       118.57 |             Denise Harper |          60164299794 | 2024-07-08 | 2024-07-20 |         1422.84
ID043 | Derrick Jones             |           60112668528 |            Ford |      SND 998 |     4 |       130.62 |          Brenda Middleton |          60151525058 | 2024-06-24 | 2024-07-06 |         1567.44
ID044 | Cheyenne Smith            |           60130424034 |      Volkswagen |      TGG 906 |     4 |        93.77 |          Alyssa Zimmerman |          60132142206 | 2024-06-12 | 2024-06-15 |          281.31
ID045 | Jared Andrade             |           60180130982 |           Mazda |      ZMZ 930 |     4 |        86.05 |              Scott Gibson |          60184521777 | 2024-06-18 | 2024-06-21 |          258.15
ID046 | Teresa Sullivan           |           60182694034 |          Toyota |      LUX 797 |     9 |       114.34 |            Diana Price MD |          60117576128 | 2024-07-06 | 2024-07-20 |         1600.76
ID047 | Paula Terry               |           60101609351 |          Nissan |      UCP 268 |     5 |       153.57 |            Samantha Burns |          60115261031 | 2024-06-15 | 2024-06-21 |          921.42
