
ID    |                  Customer |          Phone Number |           Brand | Plate Number | Seats |  Rental Rate |                    Driver |  Driver Phone Number | Start Date | TicketDate | Date Today |   Duration |     Status | Rental Fee (RM)
=========================================================================================================================================================================================================================================================
ID000 | Christopher Vasquez       |           60139316961 |          Proton |      JAG 637 |     9 |        70.88 |           Gabrielle Hanna |          60110460982 | 2024-07-09 | 2024-07-13 | 2024-07-10 |          1 |      Valid |           70.88
ID001 | Dennis Collier            |           60189636142 |         Perodua |      SOX 785 |     7 |       179.80 |              Joel Johnson |          60191085794 | 2024-07-09 | 2024-07-21 | 2024-07-10 |          3 |      Valid |          539.40
ID002 | Jason Sherman             |           60175028702 |             BMW |      PCT 144 |     4 |        75.26 |          Harold Mcfarland |          60195136956 | 2024-07-10 | 2024-07-22 | 2024-07-10 |          4 |      Valid |          301.04
ID003 | Clinton Reeves            |           60117610286 |           Mazda |      PVX 646 |     5 |        67.12 |        Matthew Hutchinson |          60101085841 | 2024-07-10 | 2024-07-18 | 2024-07-10 |          5 |      Valid |          335.60
ID004 | Laurie White              |           60125849943 |           Honda |      XXF 088 |     5 |       199.12 |       Mr. Mark Dennis III |          60117652188 | 2024-07-09 | 2024-07-21 | 2024-07-10 |          1 |      Valid |          199.12
ID005 | Arthur Allen              |           60148501556 |          Proton |      FZI 845 |     7 |       176.16 |         Jennifer Espinoza |          60178713151 | 2024-07-04 | 2024-07-09 | 2024-07-10 |          5 |    Expired |          880.80
ID006 | Kelly Martin              |           60118309902 |   Mercedes-Benz |      GYK 744 |     9 |       142.73 |           Hector Peterson |          60167315190 | 2024-07-08 | 2024-07-17 | 2024-07-10 |          1 |      Valid |          142.73
ID007 | Stacy Turner              |           60128449150 |      Volkswagen |      THA 208 |     9 |       159.05 |        Christopher Taylor |          60155800681 | 2024-07-10 | 2024-07-19 | 2024-07-10 |          5 |      Valid |          795.25
ID008 | Michael Patrick           |           60149791615 |          Toyota |      IBZ 036 |     5 |        95.08 |           Andrew Anderson |          60151193519 | 2024-07-05 | 2024-07-19 | 2024-07-10 |          4 |      Valid |          380.32
ID009 | Michael Mcdonald          |           60190702364 |          Proton |      BRU 851 |     5 |        65.46 |       Brittney Curtis DDS |          60114189285 | 2024-07-04 | 2024-07-11 | 2024-07-10 |          1 |      Valid |           65.46
